Love In This Club,Usher Featuring Young Jeezy,2008,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",Sad
Stop And Stare,OneRepublic,2008,"['piano rock', 'pop']",Sad
Sorry,Buckcherry,2008,"['alternative metal', 'glam metal', 'hard rock', 'nu metal', 'post-grunge', 'sleaze rock']",Sad
Like You'll Never See Me Again,Alicia Keys,2008,"['neo soul', 'pop', 'r&b']",Sad
When I Grow Up,The Pussycat Dolls,2008,"['dance pop', 'girl group', 'pop']",Sad
What You Got,Colby O'Donis Featuring Akon,2008,"['electropop', 'r&b']",Sad
It's Not My Time,3 Doors Down,2008,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",Sad
Shadow Of The Day,Linkin Park,2008,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Sad
Fall For You,Secondhand Serenade,2008,"['neon pop punk', 'piano rock', 'pixie', 'pop punk']",Sad
Say,John Mayer,2008,"['neo mellow', 'singer-songwriter']",Sad
Realize,Colbie Caillat,2008,"['dance pop', 'neo mellow', 'pop']",Sad
The Time Of My Life,David Cook,2008,"['idol', 'neo mellow', 'talent show']",Sad
Love Lockdown,Kanye West,2008,"['chicago rap', 'hip hop', 'rap']",Sad
